Sample_ID,Preprocessing_Time_ms,Inference_Time_ms,Postprocessing_Time_ms,Total_Time_ms
0,0.0010,177.1338,0.0000,177.1338
1,0.0010,5.2085,0.0000,5.2085
2,0.0010,4.0069,0.0000,4.0069
3,0.0010,5.0106,0.0000,5.0106
4,0.0010,5.0035,0.0000,5.0035
5,0.0010,4.9999,0.0000,4.9999
6,1.0009,4.5047,0.0000,5.5056
7,0.0010,4.5016,0.0000,4.5016
8,0.0010,5.0001,0.0000,5.0001
9,0.0010,5.5039,0.0000,5.5039
10,0.0010,5.0015,0.0000,5.0015
11,0.0010,4.5047,0.0000,4.5047
12,0.0010,4.9996,0.0000,4.9996
13,0.0010,4.5040,0.0000,4.5040
14,0.0010,9.5983,0.0000,9.5983
15,0.0010,5.0004,0.0000,5.0004
16,0.0010,5.8975,0.0000,5.8975
17,0.0010,8.5001,0.0000,8.5001
18,0.0010,5.0087,0.0000,5.0087
19,0.0010,9.5026,0.0000,9.5026
20,0.0010,9.1476,0.0000,9.1476
21,0.0010,4.9965,0.0000,4.9965
22,0.0010,4.5066,0.0000,4.5066
23,0.0010,4.9996,0.0000,4.9996
24,0.0010,5.0704,0.0000,5.0704
25,0.0010,5.0087,0.0000,5.0087
26,0.0010,5.0080,0.0000,5.0080
27,0.0010,4.4150,0.0000,4.4150
28,0.0010,8.5096,0.0000,8.5096
29,1.0014,4.9994,0.0000,6.0008
30,0.0010,4.5049,0.0000,4.5049
31,0.0010,5.0013,0.0000,5.0013
32,0.0010,5.5003,0.0000,5.5003
33,0.0010,5.5141,0.0000,5.5141
34,0.0010,7.5617,0.0000,7.5617
35,0.0010,5.0015,0.0000,5.0015
36,0.0010,4.5164,0.0000,4.5164
37,0.0010,4.9996,0.0000,4.9996
38,0.0010,4.5056,0.0000,4.5056
39,0.0010,5.0011,0.0000,5.0011
40,0.0010,4.0102,0.0000,4.0102
41,0.0010,4.0131,0.0000,4.0131
42,0.0010,6.0027,0.0000,6.0027
43,0.0010,4.5037,0.0000,4.5037
44,0.0010,5.0042,0.0000,5.0042
45,0.0010,5.0080,0.0000,5.0080
46,0.9999,4.5030,0.0000,5.5029
47,0.0010,8.0009,0.0000,8.0009
48,0.0010,5.5044,0.0000,5.5044
49,0.0010,3.5028,0.0000,4.5030
50,0.0010,9.0039,0.0000,9.0039
51,1.0002,4.0677,0.0000,5.0678
52,0.0010,11.5545,0.0000,11.5545
53,0.0010,5.1951,0.0000,5.1951
54,0.0010,3.9983,0.0000,3.9983
55,0.0010,4.0028,0.0000,4.0028
56,0.0010,5.0004,0.0000,5.0004
57,1.0009,8.5015,0.0000,9.5024
58,0.0010,4.9984,0.0000,4.9984
59,0.0010,5.2798,0.0000,5.2798
60,0.0010,5.1346,0.0000,5.1346
61,0.0010,9.0129,0.0000,9.0129
62,0.0010,4.5097,0.0000,4.5097
63,0.0010,4.7436,0.0000,4.7436
64,0.0010,5.0001,0.0000,5.0001
65,1.0002,4.2088,0.0000,5.2090
66,0.0010,4.9973,0.0000,4.9973
67,0.0010,6.0542,0.0000,6.0542
68,0.0010,4.5090,0.0000,4.5090
69,0.0010,4.0064,0.0000,4.0064
70,0.0010,4.5576,0.0000,4.5576
71,0.0010,4.9999,0.0000,4.9999
72,0.0010,4.1416,0.0000,4.1416
73,0.0010,6.1650,0.0000,6.1650
74,0.0010,5.0037,0.0000,5.0037
75,0.0010,5.0139,0.0000,5.0139
76,0.0010,4.9994,0.0000,4.9994
77,1.0014,4.5109,0.0000,5.5122
78,0.0010,8.5874,0.0000,8.5874
79,0.0010,4.5078,0.0000,4.5078
80,0.0010,5.0545,0.0000,5.0545
81,0.0010,5.0006,0.0000,5.0006
82,0.0010,5.3732,0.0000,5.3732
83,0.0010,5.5101,0.0000,5.5101
84,0.0010,5.5139,0.0000,5.5139
85,0.0010,4.9984,0.0000,4.9984
86,0.0010,4.1959,0.0000,4.1959
87,1.2207,5.5125,0.0000,6.7332
88,0.0010,5.0037,0.0000,5.0037
89,0.0010,4.0216,0.0000,4.0216
90,0.0010,4.9999,0.0000,4.9999
91,0.0010,4.0941,0.0000,4.0941
92,0.0010,5.0082,0.0000,5.0082
93,0.0010,5.1067,0.0000,5.1067
94,1.0006,3.9997,0.0000,5.0004
95,0.0010,4.4315,0.0000,4.4315
96,1.0006,9.5193,0.0000,10.5200
97,1.3857,9.0063,0.0000,10.3920
98,1.0014,4.5116,0.0000,5.5130
99,0.0010,4.5137,0.0000,4.5137
100,0.0010,4.0090,0.0000,4.0090
101,0.0010,5.5034,0.0000,5.5034
102,0.0010,5.0063,0.0000,5.0063
103,0.9999,4.5049,0.0000,5.5048
104,1.0002,5.0025,0.0000,6.0027
105,0.0010,5.0135,0.0000,5.0135
106,0.0010,4.9980,0.0000,4.9980
107,0.0010,9.5034,0.0000,9.5034
108,0.0010,5.0004,0.0000,5.0004
109,0.0010,4.0367,0.0000,4.0367
110,0.0010,4.0066,0.0000,4.0066
111,0.0010,6.6519,0.0000,6.6519
112,0.0010,5.0004,0.0000,5.0004
113,0.0010,4.0066,0.0000,4.0066
114,0.0010,5.0018,0.0000,5.0018
115,0.0010,4.9996,0.0000,4.9996
116,0.0010,10.0160,0.0000,10.0160
117,0.0010,4.5192,0.0000,4.5192
118,0.0010,5.0097,0.0000,5.0097
119,0.9978,4.0152,0.0000,5.0130
120,0.0010,4.9999,0.0000,4.9999
121,0.0010,5.2936,0.0000,5.2936
122,0.0010,4.0319,0.0000,4.0319
123,0.0010,4.0064,0.0000,4.0064
124,0.0010,7.3116,0.0000,7.3116
125,0.0010,4.5025,0.0000,4.5025
126,1.0002,7.6642,0.0000,8.6644
127,0.0010,5.0015,0.0000,5.0015
128,0.0010,6.6001,0.0000,6.6001
129,0.0010,4.0071,0.0000,4.0071
130,0.0010,5.1320,0.0000,5.1320
131,0.0010,5.5039,0.0000,5.5039
132,1.0016,4.5035,0.0000,5.5051
133,0.0010,4.0851,0.0000,4.0851
134,0.0010,7.0004,0.0000,7.0004
135,0.0010,4.3411,0.0000,4.3411
136,0.0010,8.5049,0.0000,8.5049
137,0.0010,5.0001,0.0000,5.0001
138,0.0010,4.9982,0.0000,4.9982
139,0.0010,4.1301,0.0000,4.1301
140,0.0010,4.0064,0.0000,4.0064
141,0.0010,4.5052,0.0000,4.5052
142,0.0010,9.0141,0.0000,9.0141
143,0.0010,5.0273,0.0000,5.0273
144,0.0010,5.4119,0.0000,5.4119
145,0.0010,5.5041,0.0000,5.5041
146,0.0010,4.0071,0.0000,4.0071
147,0.0010,4.0934,0.0000,4.0934
148,0.0010,10.2656,0.0000,10.2656
149,0.0010,5.0001,0.0000,5.0001
150,0.0010,5.3709,0.0000,5.3709
151,0.0010,4.1876,0.0000,4.1876
152,0.0010,5.0042,0.0000,5.0042
153,0.0010,5.0557,0.0000,5.0557
154,0.9983,4.9994,0.0000,5.9977
155,0.0010,5.0037,0.0000,5.0037
156,1.0006,4.5040,0.0000,5.5046
157,1.0011,4.0009,0.0000,5.0020
158,0.0010,4.6697,0.0000,4.6697
159,0.0010,4.0066,0.0000,4.0066
160,0.0010,5.0077,0.0000,5.0077
161,0.0010,3.9997,0.0000,3.9997
162,0.0010,4.0100,0.0000,4.0100
163,0.0010,5.5022,0.0000,5.5022
164,0.0010,5.0073,0.0000,5.0073
165,0.0010,4.8425,0.0000,4.8425
166,0.0010,4.0066,0.0000,4.0066
167,0.0010,4.0026,0.0000,4.0026
168,0.0010,4.9489,0.0000,4.9489
169,0.0010,5.0004,0.0000,5.0004
170,0.0010,4.5130,0.0000,4.5130
171,0.0010,4.9996,0.0000,4.9996
172,0.0010,9.5127,0.0000,9.5127
173,0.0010,5.5139,0.0000,5.5139
174,0.0010,5.0254,0.0000,5.0254
175,0.0010,5.0027,0.0000,5.0027
176,0.0010,5.0704,0.0000,5.0704
177,0.0010,4.9999,0.0000,4.9999
178,0.0010,4.5118,0.0000,4.5118
179,0.0010,3.9995,0.0000,3.9995
180,0.0010,4.0138,0.0000,4.0138
181,0.0010,4.0069,0.0000,4.0069
182,0.0010,8.5125,0.0000,8.5125
183,1.0035,4.9999,0.0000,6.0034
184,0.0010,4.0379,0.0000,4.0379
185,0.0010,5.2204,0.0000,5.2204
186,0.0010,4.5123,0.0000,4.5123
187,0.0010,4.9996,0.0000,4.9996
188,1.0006,4.1606,0.0000,5.1613
189,1.0028,3.9966,0.0000,4.9994
190,0.0010,6.0337,0.0000,6.0337
191,0.0010,5.6410,0.0000,5.6410
192,0.0010,6.0225,0.0000,6.0225
193,0.0010,5.9996,0.0000,5.9996
194,0.0010,7.0252,0.0000,7.0252
195,0.0010,4.0247,0.0000,4.0247
196,0.0010,4.9999,0.0000,4.9999
197,0.0010,5.2238,0.0000,5.2238
198,0.0010,4.0498,0.0000,4.0498
199,0.0010,8.5113,0.0000,8.5113
200,0.0010,4.5104,0.0000,4.5104
201,0.0010,4.0071,0.0000,4.0071
202,0.0010,5.0366,0.0000,5.0366
203,0.0010,5.5022,0.0000,5.5022
204,0.0010,4.0069,0.0000,4.0069
205,0.0010,5.0290,0.0000,5.0290
206,0.0010,4.9994,0.0000,4.9994
207,0.0010,5.0290,0.0000,5.0290
208,0.0010,4.0059,0.0000,4.0059
209,0.0010,4.0095,0.0000,4.0095
210,0.0010,4.0071,0.0000,4.0071
211,0.0010,4.0023,0.0000,4.0023
212,0.0010,5.0004,0.0000,5.0004
213,1.0619,5.0001,0.0000,6.0620
214,0.0010,5.0159,0.0000,5.0159
215,0.0010,10.0458,0.0000,10.0458
216,1.0004,3.9995,0.0000,4.9999
217,0.0010,5.0397,0.0000,5.0397
218,0.0010,4.0064,0.0000,4.0064
219,0.0010,4.0073,0.0000,4.0073
220,0.0010,4.5092,0.0000,4.5092
221,0.0010,4.9996,0.0000,4.9996
222,0.0010,5.0325,0.0000,5.0325
223,0.9990,5.1932,0.0000,6.1922
224,0.0010,5.5482,0.0000,5.5482
225,0.0010,4.0033,0.0000,4.0033
226,0.0010,5.0035,0.0000,5.0035
227,0.0010,4.5037,0.0000,4.5037
228,0.0010,3.9995,0.0000,3.9995
229,0.0010,4.0183,0.0000,4.0183
230,0.0010,4.9999,0.0000,4.9999
231,1.0016,9.5112,0.0000,10.5128
232,0.0010,5.5058,0.0000,5.5058
233,1.0006,4.5342,0.0000,5.5349
234,0.9999,3.9995,0.0000,4.9994
235,0.0010,5.0082,0.0000,5.0082
236,0.0010,4.9994,0.0000,4.9994
237,0.0010,5.0609,0.0000,5.0609
238,0.0010,6.0191,0.0000,6.0191
239,0.0010,4.9994,0.0000,4.9994
240,0.0010,8.0132,0.0000,8.0132
241,0.0010,5.0273,0.0000,5.0273
242,1.0009,3.9990,0.0000,4.9999
243,0.0010,8.4128,0.0000,8.4128
244,1.0009,4.5047,0.0000,5.5056
245,0.0010,5.9988,0.0000,5.9988
246,0.0010,5.0085,0.0000,5.0085
247,0.0010,8.5044,0.0000,8.5044
248,0.0010,5.0182,0.0000,5.0182
249,1.0002,3.9997,0.0000,4.9999
250,0.0010,5.1732,0.0000,5.1732
251,0.0010,4.0064,0.0000,4.0064
252,0.0010,7.7369,0.0000,7.7369
253,0.0010,5.0094,0.0000,5.0094
254,1.0004,3.9988,0.0000,4.9992
255,0.0010,4.5099,0.0000,4.5099
256,0.0010,4.0061,0.0000,4.0061
257,0.0010,5.0929,0.0000,5.0929
258,1.0006,3.9997,0.0000,5.0004
259,0.0010,3.9990,0.0000,3.9990
260,0.0010,5.0328,0.0000,5.0328
261,0.0010,4.0116,0.0000,4.0116
262,0.0010,4.5114,0.0000,4.5114
263,0.0010,5.0004,0.0000,5.0004
264,0.0010,5.1138,0.0000,5.1138
265,0.0010,6.3496,0.0000,6.3496
266,0.0010,3.9990,0.0000,3.9990
267,0.0010,5.0352,0.0000,5.0352
268,0.0010,4.0059,0.0000,4.0059
269,0.0010,5.0263,0.0000,5.0263
270,0.0010,4.0064,0.0000,4.0064
271,0.0010,5.1153,0.0000,5.1153
272,1.0033,3.9992,0.0000,5.0025
273,0.0010,4.0481,0.0000,4.0481
274,0.0010,5.0001,0.0000,5.0001
275,0.0010,10.0334,0.0000,10.0334
276,0.0010,6.0034,0.0000,6.0034
277,0.0010,4.5118,0.0000,4.5118
278,0.0010,4.0069,0.0000,4.0069
279,0.0010,4.5359,0.0000,4.5359
280,1.0011,3.9995,0.0000,5.0006
281,0.0010,4.0607,0.0000,4.0607
282,0.0010,10.5734,0.0000,10.5734
283,0.0010,4.5111,0.0000,4.5111
284,0.0010,4.9989,0.0000,4.9989
285,0.0010,5.0166,0.0000,5.0166
286,0.0010,5.0066,0.0000,5.0066
287,0.0010,5.0111,0.0000,5.0111
288,1.0004,3.9995,0.0000,4.9999
289,0.0010,4.1058,0.0000,4.1058
290,0.0010,4.0071,0.0000,4.0071
