Sample_ID,Preprocessing_Time_ms,Inference_Time_ms,Postprocessing_Time_ms,Rendering_Time_ms,Total_Time_ms
0,0.6173,150.9128,0.0010,32.7756,184.8333
1,0.2158,6.0873,0.0010,8.3611,14.6677
2,0.2110,7.1764,0.0010,8.0559,15.4476
3,0.4356,6.2118,0.0010,9.3071,15.9626
4,0.1919,5.4152,0.0010,6.8758,12.4865
5,0.1915,5.3644,0.0010,8.9231,14.4820
6,0.2804,10.5078,0.0010,6.8364,17.6282
7,0.2387,9.9576,0.0010,6.8619,17.0615
8,0.1795,7.5364,0.0010,6.2308,13.9496
9,0.2074,9.0010,0.0010,7.4730,16.6845
10,0.1833,6.1803,0.0010,7.8628,14.2295
11,0.2365,9.8405,0.0010,6.8340,16.9156
12,0.2446,11.0674,0.0010,8.5878,19.9044
13,0.2201,8.9142,0.0010,9.0106,18.1484
14,0.2205,5.4905,0.0010,7.8349,13.5491
15,0.1969,5.6252,0.0010,9.4736,15.2986
16,0.3529,5.2445,0.0010,6.5830,12.1844
17,0.3672,8.9989,0.0010,8.2283,17.5979
18,0.2208,6.5608,0.0010,8.3780,15.1634
19,0.1884,7.1471,0.0010,7.3307,14.6692
20,0.2360,10.8247,0.0010,7.1514,18.2159
21,0.2801,8.0645,0.0010,7.7939,16.1424
22,0.2215,4.6327,0.0010,6.6185,11.4765
23,0.2103,4.5533,0.0010,6.1531,10.9189
24,0.1800,5.9268,0.0010,8.2848,14.3945
25,0.1624,5.7952,0.0010,7.4604,13.4206
26,0.1619,4.8871,0.0010,6.4628,11.5156
27,0.1609,4.5094,0.0010,7.4313,12.1043
28,0.1819,4.7264,0.0010,6.9053,11.8158
29,0.1643,7.6749,0.0010,8.5473,16.3891
30,0.1860,4.3180,0.0010,7.6976,12.2046
31,0.1905,4.3399,0.0010,7.5002,12.0327
32,0.1919,4.6971,0.0010,7.2405,12.1317
33,0.1690,4.5905,0.0010,6.5806,11.3425
34,0.1647,5.0292,0.0010,5.5146,10.7110
35,0.1781,4.6635,0.0010,8.1749,13.0196
36,0.1714,4.7064,0.0010,7.6201,12.5005
37,0.1996,9.8145,0.0010,6.5813,16.5982
38,0.1850,4.3919,0.0010,7.9019,12.4817
39,0.2534,7.1740,0.0010,6.9098,14.3399
40,0.1762,5.9149,0.0010,7.7124,13.8066
41,0.2058,5.4142,0.0010,6.0287,11.6520
42,0.1972,5.8062,0.0010,6.6206,12.6266
43,0.2196,6.0105,0.0010,5.9912,12.2237
44,0.2034,6.2258,0.0010,6.4640,12.8953
45,0.1712,4.9331,0.0010,7.4041,12.5115
46,0.1884,5.4317,0.0010,7.8549,13.4778
47,0.1924,6.1471,0.0010,6.5682,12.9101
48,0.1609,4.9169,0.0010,7.1096,12.1906
49,0.1640,4.6566,0.0010,7.5178,12.3410
50,0.2027,5.8820,0.0010,8.2421,14.3299
51,0.1705,4.5674,0.0010,7.5488,12.2893
52,0.2124,5.0128,0.0010,6.9160,12.1443
53,0.1974,5.8806,0.0010,7.7777,13.8586
54,0.2010,9.9297,0.0010,8.2185,18.3523
55,0.1733,4.6833,0.0010,7.6160,12.4757
56,0.1957,4.5986,0.0010,7.2417,12.0397
57,0.1917,9.1236,0.0010,7.1328,16.4516
58,0.2482,4.5362,0.0010,7.5052,12.2919
59,0.3071,9.8965,0.0010,7.3152,17.5238
60,0.2110,4.6768,0.0010,7.0870,11.9781
61,0.1771,4.6744,0.0010,6.3977,11.2531
62,0.1724,8.2047,0.0010,8.0373,16.4187
63,0.1767,4.7901,0.0010,7.1619,12.1317
64,0.1776,4.6418,0.0010,7.7922,12.6145
65,0.1781,4.3774,0.0010,6.0546,10.6127
66,0.1884,4.9827,0.0010,7.2587,12.4326
67,0.2017,4.8127,0.0010,7.4909,12.5077
68,0.2520,5.3494,0.0010,8.3091,13.9148
69,0.1810,5.5766,0.0010,6.8569,12.6202
70,0.1774,4.7486,0.0010,6.5227,11.4517
71,0.1891,4.5097,0.0010,6.5057,11.2081
72,0.2768,5.4021,0.0010,7.0398,12.7237
73,0.2012,4.4589,0.0010,8.6901,13.3526
74,0.1774,4.6203,0.0010,8.4569,13.2575
75,0.1733,4.3621,0.0010,5.7485,10.2863
76,0.1855,5.4309,0.0010,7.5688,13.1888
77,0.1943,5.5609,0.0010,8.3046,14.0638
78,0.1857,5.4855,0.0010,6.5255,12.2006
79,0.1600,4.9710,0.0010,6.1476,11.2820
80,0.1912,4.4179,0.0010,7.5846,12.1961
81,0.1867,4.4725,0.0010,7.2513,11.9128
82,0.1876,4.9140,0.0010,7.4852,12.5902
83,0.1857,4.3015,0.0010,6.2826,10.7720
84,0.1974,4.9574,0.0010,6.6960,11.8542
85,0.1497,5.0607,0.0010,7.0109,12.2240
86,0.1559,5.9574,0.0010,6.5579,12.6741
87,0.1607,4.6806,0.0010,7.3659,12.2106
88,0.1609,5.3263,0.0010,6.3994,11.8895
89,0.1686,4.8883,0.0010,7.3681,12.4271
90,0.1676,4.6515,0.0010,8.6610,13.4830
91,0.1829,4.8196,0.0010,7.0908,12.0966
92,0.2010,4.5772,0.0010,7.1464,11.9278
93,0.1462,5.0898,0.0010,5.1951,10.4342
94,0.1755,4.4470,0.0010,7.7407,12.3656
95,0.2065,4.3519,0.0010,7.0982,11.6591
